0,0,0.74599,0,0,0,0.85343,0.043807,0,0,0.58046,0.83044,0,0,0,0,0,0,0,0,0.93533,0.83382,0.95913,0,0,0,0.36585,0,0,0,0,0,0.92124,0,0,0,0,0,0,0,0,0.11321,0.19594,0.98919,0.098783,0,0.21735,0.66857,0,0.090939,0,0,0,0,0.29931,0,0,0.42824,0,0,0,0,0,0,0,0,0,0.4145,0.20632,0.99837,0.3569,0.47376,0,0.39387,0.53517,0,0,0,0,0,0.87565,0.73508,0.40648,0.56504,0.39249,0.91592,0,0,0.89387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047637,0,0.36686,0,0,0,0.25853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63643,0,0,0.66466
0,0,0,0.10304,0.27425,0.33772,0.6838,0,0,0.54399,0,0,0,0,0,0,0,0,0,0.50542,0,0,0.156,0.0068243,0,0,0.2873,0,0,0,0,0.2155,0,0.73225,0,0,0,0.53011,0,0.93051,0,0,0,0,0,0,0,0,0.3044,0.034239,0,0.76998,0.65563,0,0.77543,0,0,0,0,0.011679,0.31373,0.60573,0,0.19526,0,0,0,0,0,0.38241,0,0,0,0,0.055756,0,0,0,0,0,0,0.91763,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045145,0,0,0,0.72803,0.98451,0,0,0.68272,0,0,0,0.64478,0,0,0,0,0.51519,0,0,0,0,0,0,0,0,0,0,0,0.80275,0,0,0
0.74599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92894,0,0,0.070177,0,0.68596,0,0,0,0,0,0.61162,0,0.76799,0,0,0,0,0.20639,0,0.84969,0,0,0,0.39732,0.42177,0,0.32417,0.094925,0,0.94795,0,0,0,0,0.71899,0,0,0,0.64681,0.36169,0,0.70248,0.65197,0.24143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030598,0.69395,0,0.067025,0,0,0,0,0,0,0,0,0,0,0.79661,0,0,0,0,0,0.44838,0,0.47551,0,0.28417,0.059494,0,0.27681,0,0,0,0,0.22257,0,0,0,0,0,0,0,0,0,0,0.39434,0.5632,0,0
0,0.10304,0,0,0.14953,0,0.10634,0,0,0,0,0,0,0,0.93941,0,0.63208,0,0,0.017387,0,0,0.42457,0,0.90615,0,0,0,0,0.33441,0.050602,0.48531,0.78165,0.58123,0,0,0,0,0,0.50789,0,0,0,0,0,0,0,0.70277,0,0,0,0,0,0.86481,0,0,0,0.76762,0.48987,0,0,0,0,0,0,0.32892,0,0.083664,0,0,0,0,0,0.81583,0.43105,0,0,0.31034,0.31932,0,0.97384,0,0,0.068896,0,0,0,0,0,0,0.86483,0.53856,0,0,0,0.31483,0,0,0,0.20197,0,0,0.98266,0.92701,0,0.91439,0,0.84513,0,0,0.47082,0,0.57733,0.32074,0,0,0,0,0.85276,0,0.11172,0,0,0,0,0,0.071796,0.25679
0,0.27425,0,0.14953,0,0,0.50196,0,0.2734,0,0.96349,0,0,0,0.66808,0,0,0,0.34837,0,0.4489,0.60586,0,0.78609,0,0,0,0.69887,0.14483,0.44303,0,0.2195,0,0.070604,0,0,0,0,0,0.064098,0,0,0.74161,0.72336,0,0,0,0,0,0,0.85091,0,0,0,0,0,0,0,0.5297,0,0,0,0,0.42341,0.42067,0,0.69598,0,0,0.19008,0,0,0.11801,0,0,0,0,0,0,0,0,0.82422,0.82948,0,0,0,0.67832,0,0.1631,0.06156,0,0,0,0.50722,0,0,0,0.30991,0.85691,0,0.97931,0,0,0,0,0.66015,0,0,0,0.2606,0,0,0,0,0.98034,0.10961,0,0,0,0.91897,0,0.45371,0,0,0,0,0,0
0,0.33772,0,0,0,0,0,0,0,0,0,0,0,0,0.4812,0.78134,0,0.92685,0.20913,0,0,0,0.22308,0,0.3685,0.28103,0.74144,0,0,0,0,0,0.24192,0,0.71365,0,0,0,0,0,0,0.61386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92719,0,0,0.16141,0,0,0,0,0,0.015258,0,0,0,0.11251,0,0,0.52998,0.19074,0,0,0,0,0,0,0,0.54618,0,0,0,0,0,0,0,0.14024,0.99067,0,0.61259,0,0,0,0,0,0,0,0.062794,0.57207,0.41136,0.31302,0.42553,0.20021,0,0,0.47249,0,0.76686,0.0049427,0,0,0,0,0,0.48153,0.62398,0,0,0,0,0.26274,0,0,0
0.85343,0.6838,0,0.10634,0.50196,0,0,0,0,0,0,0,0,0,0,0.53151,0.68215,0,0,0,0,0,0,0,0,0,0,0,0,0.099138,0,0.93687,0.5836,0,0.69775,0,0.77191,0.82918,0,0,0,0,0,0.39694,0,0,0,0.4707,0.34285,0.16607,0,0.7557,0,0,0,0,0,0,0,0.72844,0,0,0,0.53708,0.64386,0,0.76855,0.58711,0,0,0,0,0,0.94736,0,0.8235,0.48587,0,0,0.30947,0.72388,0,0,0.1639,0,0,0.791,0.031974,0,0,0,0.76916,0.22018,0,0.39318,0,0.26082,0,0,0,0,0.099259,0,0,0,0.6251,0,0,0,0,0,0,0,0,0,0,0,0.80381,0,0.25758,0,0,0.8911,0,0,0,0,0
0.043807,0,0,0,0,0,0,0,0,0,0,0,0.8753,0,0,0,0,0,0,0,0,0,0.1364,0,0.66254,0.55504,0,0,0,0,0.05521,0,0,0,0,0,0.79256,0,0,0,0.90162,0.2839,0,0.59073,0,0,0.26256,0.40889,0,0,0,0,0,0,0,0.18235,0.72642,0,0,0.4153,0,0,0,0.46328,0,0.52317,0.33189,0,0,0,0,0.85117,0,0,0,0,0,0,0,0.97387,0,0,0,0,0,0,0,0.86933,0,0.659,0,0,0,0,0,0.23551,0.85659,0.41824,0.76205,0,0.61919,0,0,0,0,0,0,0,0,0,0,0,0.35223,0.22685,0,0,0.48411,0.79819,0.2723,0,0.84678,0,0,0,0.28383,0,0,0
0,0,0,0,0.2734,0,0,0,0,0,0.84487,0,0,0.27981,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5904,0,0,0,0.27762,0,0,0,0,0.58707,0.67358,0.76649,0,0,0,0,0.57318,0,0,0,0,0.65934,0.99808,0.5222,0.99239,0.54524,0,0.64239,0,0,0,0,0,0,0,0.16133,0,0,0,0,0.63927,0.15697,0.99239,0,0,0,0,0,0,0.81213,0,0,0,0,0,0,0,0,0,0.72621,0,0,0,0,0.5861,0,0.68658,0,0,0.54611,0,0.76026,0,0,0,0.2325,0.87001,0.28283,0,0,0,0.97804,0,0.72859,0,0,0,0,0,0,0,0.7312,0.9513,0,0,0.49108,0,0,0.14997,0.26885,0
0,0.54399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04338,0.68037,0,0,0,0.26018,0,0,0,0,0.96206,0.057828,0,0.02622,0,0.20186,0,0.89346,0,0.079192,0,0,0,0,0,0,0,0,0,0.078639,0,0.038964,0,0,0.20307,0,0,0,0.86769,0,0.75695,0.22187,0,0,0.069183,0,0,0,0.12472,0.32233,0,0,0.67994,0.25508,0.92918,0.76765,0,0.32778,0.9484,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099398,0,0.79085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3914,0.75009,0.54473,0.021758,0,0,0,0,0,0,0,0,0,0,0.71364,0,0,0
