0,0.045051,0.62735,0,0,0.087077,0,0,0,0,0,0,0,0,0,0
0.045051,0,0,0,0,0.80209,0,0.13787,0,0,0.94558,0,0,0,0,0
0.62735,0,0,0,0,0.98914,0.68384,0,0,0,0.67664,0,0.52785,0,0,0
0,0,0,0,0,0,0,0,0.04182,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.66238,0,0,0,0
0.087077,0.80209,0.98914,0,0,0,0.78374,0,0,0,0.9883,0,0.41159,0,0,0.082593
0,0,0.68384,0,0,0.78374,0,0,0.10694,0,0,0.24417,0,0,0,0
0,0.13787,0,0,0,0,0,0,0,0.35446,0,0,0,0,0,0
0,0,0,0.04182,0,0,0.10694,0,0,0,0,0,0,0,0.55179,0
0,0,0,0,0,0,0,0.35446,0,0,0,0,0,0,0,0.71957
0,0.94558,0.67664,0,0,0.9883,0,0,0,0,0,0.29551,0,0,0,0.99616
0,0,0,0,0.66238,0,0.24417,0,0,0,0.29551,0,0,0,0,0
0,0,0.52785,0,0,0.41159,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58357,0
0,0,0,0,0,0,0,0,0.55179,0,0,0,0,0.58357,0,0
0,0,0,0,0,0.082593,0,0,0,0.71957,0.99616,0,0,0,0,0
