0,0,0,0.4255,0,0.13812,0,0.24417,0,0.78962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68569,0,0,0,0.37049,0,0,0,0,0,0,0.74875,0,0,0.99293,0,0.88592,0.73763,0,0,0,0,0,0,0.23493,0,0,0.70089,0.083821,0,0,0,0,0,0,0.79675
0,0,0,0,0,0,0.22947,0,0,0,0,0,0,0.33337,0,0,0,0,0.0043351,0,0.87541,0,0,0,0.21321,0,0,0,0,0,0,0.35503,0,0.31907,0.59419,0,0,0,0.29086,0.64437,0,0,0,0,0.21384,0,0,0,0,0,0,0,0,0,0,0,0.33771,0.13343,0,0.95806,0,0.99038,0,0.11382
0,0,0,0,0,0,0,0,0.13976,0,0,0,0,0,0,0,0.41377,0,0.8281,0,0.46752,0.38928,0.38959,0,0,0,0,0.68246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34211,0,0,0,0,0.32248,0,0,0.45897,0,0,0,0,0,0,0.033692,0,0
0.4255,0,0,0,0,0.5078,0,0,0,0,0.89916,0,0,0,0.37957,0.25375,0,0,0.50744,0.87503,0,0.11715,0,0,0,0,0,0.35812,0,0.053598,0,0,0,0,0.47588,0.54801,0.11005,0,0.24252,0.16924,0,0,0.16248,0,0,0.94692,0,0.50141,0,0,0,0,0,0.57413,0,0,0.23613,0.44579,0.88085,0.50578,0.74767,0,0.37751,0.15882
0,0,0,0,0,0,0.085552,0.42896,0,0,0,0,0,0.97584,0,0,0,0,0,0,0,0,0,0,0,0.21966,0,0,0,0,0.68529,0,0,0,0,0,0,0,0,0.95221,0.28807,0,0,0.57513,0,0,0,0.277,0.20424,0,0.40297,0,0.3989,0.48693,0,0,0,0.50879,0,0,0.32024,0,0,0
0.13812,0,0,0.5078,0,0,0,0,0,0.79919,0.89994,0.58243,0,0,0,0.13261,0,0.86467,0.36616,0,0,0.24042,0,0,0,0,0.86272,0.98693,0,0,0,0,0,0,0,0.56686,0,0.6522,0,0,0,0.11831,0,0.75099,0,0,0,0,0.76721,0.84239,0,0,0,0,0.86098,0,0,0,0,0.30505,0,0,0,0
0,0.22947,0,0,0.085552,0,0,0.010177,0,0,0,0,0,0.55544,0,0,0,0,0,0.34857,0,0,0,0,0.19325,0,0.24288,0,0,0,0,0,0,0,0.36831,0,0,0,0,0,0,0,0,0.15352,0,0,0,0,0,0.66293,0,0.97615,0.26812,0,0,0,0,0,0.13339,0,0,0,0,0
0.24417,0,0,0,0.42896,0,0.010177,0,0,0,0,0,0.67922,0.8463,0,0,0,0,0,0,0.14134,0.68491,0,0.43146,0,0,0,0,0.46622,0,0.62028,0,0,0.98605,0,0.68039,0.59705,0,0.93668,0.54327,0,0,0,0.35679,0.03463,0,0,0,0,0,0.10704,0,0,0,0,0,0,0.53049,0,0.78981,0,0.42425,0,0
0,0,0.13976,0,0,0,0,0,0,0,0,0,0.95938,0,0,0,0.50275,0.41996,0,0,0.068134,0,0,0,0,0,0,0,0.26032,0,0,0,0,0,0,0,0.4306,0.827,0.86019,0.25141,0,0.039023,0,0,0,0.5101,0,0,0,0,0,0,0,0,0.66084,0,0.31781,0.85972,0.10241,0,0.49293,0,0,0
0.78962,0,0,0,0,0.79919,0,0,0,0,0,0,0,0,0,0.545,0.12544,0.23988,0,0.041921,0,0,0,0.33784,0,0.40628,0.83427,0,0.56927,0,0,0,0,0,0,0.37138,0.73072,0,0,0.57857,0.25034,0,0.11357,0,0,0,0,0,0,0.81624,0,0,0,0,0.35388,0,0,0,0,0,0,0,0,0
0,0,0,0.89916,0,0.89994,0,0,0,0,0,0.42101,0,0.40806,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083986,0,0,0,0.31478,0,0,0,0.078229,0,0.30808,0.39723,0,0,0,0,0,0,0,0,0,0,0,0.72417,0,0,0,0.34719,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.58243,0,0,0,0,0.42101,0,0,0,0,0.8278,0,0,0,0,0.71424,0.83925,0,0,0,0,0,0.25031,0,0,0,0,0,0.71818,0,0.45635,0,0,0,0,0,0,0,0,0,0.79188,0.81712,0,0,0,0,0,0,0,0.25372,0,0,0,0,0,0,0.48998,0.26286,0
0,0,0,0,0,0,0,0.67922,0.95938,0,0,0,0,0,0.47657,0,0,0,0,0,0.30799,0,0,0,0,0,0,0.81135,0,0,0,0.72674,0,0,0,0,0,0,0,0,0,0.59819,0,0,0.45112,0,0,0,0,0,0,0.27821,0.83251,0,0,0,0,0,0,0.23639,0.22165,0.5835,0.24129,0.35583
